#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
#UniverseMachine Version: 1.0
#Columns:
#ID: Unique halo ID
#DescID: ID of descendant halo (or -1 at z=0).
#UPID: -1 for central halos, otherwise, ID of largest parent halo
#Flags: Ignore
#Uparent_Dist: Ignore
#X Y Z: halo position (comoving Mpc/h)
#VX VY VZ: halo velocity (physical peculiar km/s)
#M: Halo mass (Bryan & Norman 1998 virial mass, Msun)
#V: Halo vmax (physical km/s)
#MP: Halo peak historical mass (BN98 vir, Msun)
#VMP: Halo vmax at the time when peak mass was reached.
#R: Halo radius (BN98 vir, comoving kpc/h)
#Rank1: halo rank in Delta_vmax (see UniverseMachine paper)
#Rank2, RA, RARank: Ignore
#SM: True stellar mass (Msun)
#ICL: True intracluster stellar mass (Msun)
#SFR: True star formation rate (Msun/yr)
#Obs_SM: observed stellar mass, including random & systematic errors (Msun)
#Obs_SFR: observed SFR, including random & systematic errors (Msun/yr)
#SSFR: observed SSFR
#SMHM: SM/HM ratio
#Obs_UV: Observed UV Magnitude (M_1500 AB)
#h = 0.680000
#Omega_Matter = 0.307115
#Omega_Lambda = 0.692885
#Box size: 250.000000 Mpc/h
#Note: all halo masses converted to be in Msun, not Msun/h.
#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
1609 8827 -1 131 2.000000 32.629810 82.170174 220.602570 -92.629997 6.510000 -9.900000 1.596e+09 63.060001 1.596e+09 63.060001 25.763000 -0.564149 -5.612001 -0.348188 -0.348188 5.681e+00 0.000e+00 3.155e-08 6.328e+00 2.997e-08 4.737e-09 3.560e-09 0.460
3002 8083 -1 131 2.000000 29.114840 132.114304 184.664520 -50.330002 17.780001 174.639999 1.596e+09 60.110001 1.596e+09 60.110001 25.763000 -1.122650 -5.612001 1.784454 1.784454 6.834e+01 0.000e+00 3.796e-07 7.612e+01 3.606e-07 4.737e-09 4.283e-08 -2.240
1669 7997 -1 131 2.000000 32.434139 121.565559 229.919540 -51.500000 52.060001 -122.959999 1.139e+09 66.370003 1.139e+09 66.370003 23.030001 0.277962 -5.612001 -1.575935 -1.575935 8.247e-01 0.000e+00 4.581e-09 8.482e-02 4.352e-09 5.130e-08 7.238e-10 2.556
2469 8166 -1 131 2.000000 23.372620 194.521515 98.290176 37.450001 -86.230003 6.430000 1.367e+09 57.180000 1.367e+09 57.180000 24.473000 -1.475527 -5.612001 0.515292 0.515292 1.088e+02 0.000e+00 6.042e-07 1.212e+02 5.739e-07 4.737e-09 7.955e-08 -2.745
2259 9224 -1 131 2.000000 30.852909 174.963943 94.303467 26.400000 47.369999 113.730003 6.381e+09 115.389999 6.381e+09 115.389999 40.896000 -1.369297 -5.612001 0.186998 0.186998 4.351e-07 0.000e+00 2.417e-15 4.474e-08 2.295e-15 5.130e-08 6.818e-17 18.250
3545 8347 -1 131 2.000000 22.645950 195.858536 216.804413 61.349998 164.729996 -157.800003 4.557e+08 45.169998 4.557e+08 45.169998 16.968000 -0.111503 -5.612001 -1.257305 -1.257305 3.330e+04 0.000e+00 1.850e-04 3.710e+04 1.757e-04 4.737e-09 7.308e-05 -8.958
3549 9421 -1 131 2.000000 26.811859 197.367828 226.088943 133.990005 5.360000 -146.429993 1.139e+09 52.189999 1.139e+09 52.189999 23.030001 -0.772768 -5.612001 1.112771 1.112771 2.344e+03 0.000e+00 1.302e-05 2.411e+02 1.237e-05 5.130e-08 2.057e-06 -6.078
3118 8299 -1 131 2.000000 12.451460 205.246735 154.862335 -2.840000 74.239998 164.990005 3.647e+09 89.739998 3.647e+09 89.739998 33.937000 -0.489942 -5.612001 1.550678 1.550678 1.256e-03 0.000e+00 6.977e-12 1.399e-03 6.628e-12 4.737e-09 3.444e-13 9.599
3177 8414 -1 131 2.000000 25.856640 224.593018 155.309082 -56.290001 58.290001 263.519989 9.116e+08 50.880001 9.116e+08 50.880001 21.379000 -0.684934 -5.612001 1.091062 1.091062 4.748e+03 0.000e+00 2.637e-05 5.289e+03 2.505e-05 4.737e-09 5.209e-06 -6.844
94 8598 -1 131 2.000000 48.686100 38.849041 16.483431 -6.900000 49.669998 -94.930000 1.139e+09 57.900002 1.139e+09 57.900002 23.030001 -1.474030 -5.612001 1.406490 1.406490 1.353e+02 0.000e+00 7.515e-07 1.507e+02 7.139e-07 4.737e-09 1.187e-07 -2.982
